datum,partei,rolling_average,sz_err,ci_higher,ci_lower
2013-09-27,CDU/CSU,0.43,0.02699,0.45699,0.40301
2013-09-27,SPD,0.26,0.02391,0.28391,0.23609
2013-09-27,Grüne,0.07,0.01391,0.08391,0.05609
2013-09-27,FDP,0.03,0.0093,0.0393,0.0207
2013-09-27,Linke,0.1,0.01635,0.11635,0.08365
2013-09-27,AfD,0.05,0.01188,0.06188,0.03812
2013-09-29,CDU/CSU,0.43,0.0265301943925234,0.456530194392523,0.403469805607477
2013-09-29,SPD,0.26,0.0235070242990654,0.283507024299065,0.236492975700935
2013-09-29,Grüne,0.07,0.0136723476635514,0.0836723476635514,0.0563276523364486
2013-09-29,FDP,0.03,0.0091398429906542,0.0391398429906542,0.0208601570093458
2013-09-29,Linke,0.0948336448598131,0.0156990392523364,0.11053268411215,0.0791346056074766
2013-09-29,AfD,0.0551663551401869,0.012210646728972,0.0673770018691589,0.0429557084112149
2013-10-01,CDU/CSU,0.425170081175106,0.0230622187862389,0.448232299961345,0.402107862388867
2013-10-01,SPD,0.255170081175106,0.020354524545806,0.275524605720912,0.2348155566293
2013-10-01,Grüne,0.0748299188248937,0.0122077483571705,0.0870376671820642,0.0626221704677232
2013-10-01,FDP,0.0348299188248937,0.00843475067645922,0.0432646695013529,0.0263951681484345
2013-10-01,Linke,0.0924990336296869,0.0135356996521067,0.106034733281794,0.0789633339775802
2013-10-01,AfD,0.0526710475454194,0.0104425840742172,0.0631136316196366,0.0422284634712022
2013-10-06,CDU/CSU,0.422292146782485,0.0221337032441057,0.444425850026591,0.40015844353838
2013-10-06,SPD,0.252292146782485,0.0194731271051232,0.271765273887609,0.232819019677362
2013-10-06,Grüne,0.0777078532175146,0.0119565892572239,0.0896644424747385,0.0657512639602907
2013-10-06,FDP,0.0377078532175146,0.00846105123205106,0.0461689044495657,0.0292468019854636
2013-10-06,Linke,0.0922921467824854,0.0129924286474029,0.105284575429888,0.0792997181350824
2013-10-06,AfD,0.0532777876263074,0.0100573426697394,0.0633351302960468,0.043220444956568
2013-10-09,CDU/CSU,0.434183197199533,0.0233567814080124,0.457539978607546,0.410826415791521
2013-10-09,SPD,0.248625048619214,0.0203918494749125,0.269016898094127,0.228233199144302
2013-10-09,Grüne,0.077485414235706,0.0125705484247375,0.0900559626604434,0.0649148658109685
2013-10-09,FDP,0.0335958770906262,0.00845905678724232,0.0420549338778685,0.0251368203033839
2013-10-09,Linke,0.0886250486192143,0.0134250311162972,0.102050079735511,0.0752000175029172
2013-10-09,AfD,0.057485414235706,0.0109270750680669,0.0684124893037729,0.0465583391676391
2013-10-10,CDU/CSU,0.430975169300226,0.0237171437170805,0.454692313017306,0.407258025583145
2013-10-10,SPD,0.251197893152746,0.02079630248307,0.271994195635816,0.230401590669676
2013-10-10,Grüne,0.0780541760722348,0.0128305372460497,0.0908847133182844,0.0652236388261851
2013-10-10,FDP,0.0327825432656132,0.00849545974416855,0.0412780030097818,0.0242870835214447
2013-10-10,Linke,0.0889360421369451,0.0136613875094056,0.102597429646351,0.0752746546275395
2013-10-10,AfD,0.0546613995485327,0.0108259533483822,0.065487352896915,0.0438354462001505
2013-10-13,CDU/CSU,0.431001659375471,0.0237477326896968,0.454749392065168,0.407253926685775
2013-10-13,SPD,0.251200784432041,0.0208209729974355,0.272021757429477,0.230379811434606
2013-10-13,Grüne,0.0808146025041484,0.0130335027907678,0.0938481052949163,0.0677810997133806
2013-10-13,FDP,0.03,0.00818471715190828,0.0381847171519083,0.0218152828480917
2013-10-13,Linke,0.0916985970734651,0.0138536807965002,0.105552277869965,0.0778449162769649
2013-10-13,AfD,0.0546485141046915,0.0108397933323277,0.0654883074370192,0.0438087207723639
2013-10-16,CDU/CSU,0.42882889200561,0.0227865596072931,0.451615451612903,0.406042332398317
2013-10-16,SPD,0.250413744740533,0.0199788176718093,0.270392562412342,0.230434927068724
2013-10-16,Grüne,0.0807573632538569,0.0125111809256662,0.0932685441795232,0.0682461823281907
2013-10-16,FDP,0.033507713884993,0.00820535343618513,0.0417130673211781,0.0253023604488079
2013-10-16,Linke,0.0908765778401122,0.0132737279102384,0.104150305750351,0.0776028499298738
2013-10-16,AfD,0.0550245441795231,0.010423744740533,0.0654482889200561,0.0446007994389902
2013-10-18,CDU/CSU,0.427125356125356,0.0229128048433048,0.450038160968661,0.404212551282051
2013-10-18,SPD,0.250263532763533,0.0201009031339031,0.270364435897436,0.23016262962963
2013-10-18,Grüne,0.0826111111111111,0.0127504658119658,0.0953615769230769,0.0698606452991453
2013-10-18,FDP,0.0335626780626781,0.00825897863247863,0.0418216566951567,0.0253036994301994
2013-10-18,Linke,0.0907336182336182,0.0133519131054131,0.104085531339031,0.0773817051282051
2013-10-18,AfD,0.0551032763532764,0.0104919259259259,0.0655952022792023,0.0446113504273504
2013-10-20,CDU/CSU,0.426650711341577,0.0220913136550991,0.448742024996676,0.404559397686478
2013-10-20,SPD,0.250245977928467,0.0193839462837389,0.269629924212206,0.230862031644728
2013-10-20,Grüne,0.0831033107299561,0.0123113562026326,0.0954146669325888,0.0707919545273235
2013-10-20,FDP,0.0333253556707885,0.00795287594734743,0.0412782316181359,0.025372479723441
2013-10-20,Linke,0.0913508841909321,0.0128929823161814,0.104243866507113,0.0784579018747507
2013-10-20,AfD,0.052326153437043,0.00988713867836724,0.0622132921154102,0.0424390147586757
2013-10-23,CDU/CSU,0.423324468085106,0.0220783670212766,0.445402835106383,0.40124610106383
2013-10-23,SPD,0.253571808510638,0.0194607606382979,0.273032569148936,0.23411104787234
