# (c) Statistisches Bundesamt, Wiesbaden 2014
# 
# Ergebnisse der repräsentativen Wahlstatistik zur Bundestagswahl 2013
# Wahlberechtigte, Wähler und Wahlbeteiligung nach Geschlecht und Altersgruppen in den Ländern 2013
# 
Geburtsjahresgruppe;Alter von ... bis unter ... Jahren;Insgesamt;;;;;;;;;Männer;;;;;;;;;Frauen;;;;;;;;
;;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1
;;insgesamt;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;
;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;
;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Schleswig-Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;
1989 - 1992;21 - 25;81,11397332;4,422165753;9,903205293;4,678230261;71,21076802;4,38875859;35,5671351;3,394422763;56,05734565;42,25238456;4,725381826;4,422308023;4,616232741;37,83007654;4,738479168;18,86455824;3,654228741;55,11373264;38,86158875;4,133767868;5,48089727;4,729480678;33,38069148;4,050008055;16,70257686;3,14211068;57,08329186
1984 - 1988;25 - 30;130,8483701;7,133582015;13,01342448;6,147484012;117,8349456;7,262232163;64,84580528;6,18869293;59,50340052;68,68028562;7,681000181;6,471222485;6,75499512;62,20906313;7,792116132;33,89870074;6,566472691;58,77949234;62,16808451;6,612916209;6,542201996;5,645283319;55,62588251;6,748969605;30,94710454;5,821809922;60,30313919
1979 - 1983;30 - 35;127,5693161;6,954814785;10,88946683;5,144135839;116,6798493;7,191042942;66,49057557;6,34566497;60,65725267;68,11102263;7,617335491;5,647848436;5,895514905;62,4631742;7,823945303;34,00022981;6,586139753;58,21095722;59,45829349;6,324671508;5,241618398;4,523006309;54,2166751;6,577993477;32,49034577;6,112126488;63,45954777
1974 - 1978;35 - 40;110,1281689;6,003959578;8,29710039;3,919513428;101,8310685;6,275904461;62,61013946;5,97532756;64,38610625;58,96852227;6,594865269;4,285289718;4,473205982;54,68323256;6,849453715;33,03481538;6,399130595;63,28818098;51,15964664;5,441931487;4,011810673;3,461801987;47,14783597;5,720346313;29,57532408;5,563748783;65,65161599
1969 - 1973;40 - 45;138,338282;7,541916489;10,14350632;4,791747401;128,1947757;7,900714153;86,9986727;8,302897441;70,22074992;72,96010136;8,159642126;5,121743593;5,34633959;67,83835777;8,497224284;44,3617256;8,593251462;67,82264316;65,37818061;6,954379144;5,021762729;4,333292274;60,35641788;7,322915366;42,6369471;8,020918448;72,8969656
1964 - 1968;45 - 50;167,2552836;9,118411502;15,37149668;7,261426859;151,883787;9,360680879;101,7601598;9,711690357;70,03166296;83,92531351;9,385959049;6,756840392;7,053137792;77,16847312;9,665885869;49,71312966;9,629864897;67,28598047;83,32997012;8,863939021;8,614656283;7,433609577;74,71531384;9,065049567;52,04703018;9,791155627;72,79696173
1954 - 1963;50 - 60;358,92474;19,56783311;39,04554793;18,44494368;319,8791921;19,7143296;218,9881615;20,89958604;71,8907561;179,7293884;20,10040367;17,82193891;18,60345717;161,9074495;20,28002972;109,6393755;21,23809908;70,91845998;179,1953516;19,06128931;21,22360902;18,31390808;157,9717425;19,16637437;109,348786;20,57083713;72,86594986
1944 - 1953;60 - 70;282,0929847;15,37912501;39,57353161;18,69436083;242,5194531;14,94660657;174,7195752;16,67472237;75,96541509;136,8088359;15,30029591;18,35708657;19,16207184;118,4517493;14,83690222;85,75695197;16,61186626;76,1018379;145,2841488;15,45410173;21,21644504;18,30772626;124,0677038;15,0528697;88,96262319;16,73576543;75,83695066
1943 und früher;70 und mehr;403,820098;22,01543501;62,5043933;29,5267982;341,3157047;21,0354736;218,2538844;20,8295088;69,52558307;164,8825879;18,43998138;25,60119745;26,72384765;139,2813905;17,44595908;97,52013786;18,89049751;74,67212691;238,9375101;25,41615599;36,90319585;31,84386482;202,0343143;24,51239216;120,7337466;22,71259086;65,97412952
Zusammen;;1834,259;100;211,687;100;1622,572;100;1047,811;100;68,66522121;894,1581044;100;95,79906974;100;798,3590347;100;516,2391186;100;68,4485423;940,1008956;100;115,8879303;100;824,2129653;100;531,5718814;100;68,87131102
;;Rheinland-Pfalz;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;113,277572;3,663067289;14,96168333;2,279837341;98,31588863;4,03568598;59,99118449;3,705092131;66,16743855;58,37251026;3,901519684;6,709418043;2,240780854;51,66309221;4,317040234;31,34364175;3,895624564;65,19003487;54,90506171;3,439572045;8,252265289;2,312609708;46,65279642;3,764027717;28,64754274;3,516894876;67,20656873
1989 - 1992;21 - 25;166,9979471;5,400228011;28,1287947;4,286220681;138,8691524;5,700322695;72,41466746;4,472374014;60,20640609;86,03702879;5,75056923;12,92969536;4,31820072;73,10733342;6,108951018;38,79302396;4,821490058;60,11681256;80,96091828;5,071862277;15,19909934;4,259386173;65,76181895;5,305776465;33,6216435;4,12753676;60,30161697
1984 - 1988;25 - 30;200,3336621;6,478208102;34,93037835;5,322635102;165,4032838;6,789499872;89,17663609;5,507603416;61,95015512;102,0754518;6,822550247;16,95853726;5,663734972;85,11691449;7,112488407;45,06494847;5,601012214;60,76239161;98,25821035;6,155465143;17,97184108;5,036417601;80,28636927;6,477642123;44,11168762;5,415339443;63,18406216
1979 - 1983;30 - 35;196,9711045;6,369472766;31,95369266;4,869052505;165,0174118;6,773660541;95,95252493;5,926086442;64,93653874;97,97885294;6,548740524;15,35120458;5,126925329;82,62764836;6,904481848;48,17922689;5,988078261;64,84096268;98,99225156;6,201449749;16,60248808;4,652670965;82,38976348;6,647347579;47,77329803;5,864854399;65,03113638
1974 - 1978;35 - 40;186,4203264;6,028291281;30,36855643;4,627511985;156,0517699;6,405637469;97,60966223;6,028432252;68,65035651;91,55266772;6,119225191;14,52780414;4,851929803;77,02486358;6,436305317;47,67568186;5,925493881;67,94284377;94,86765865;5,943061286;15,84075229;4,439202599;79,02690635;6,376026493;49,93398037;6,130109003;69,3331464
1969 - 1973;40 - 45;238,1665204;7,701612729;37,43497838;5,704282043;200,731542;8,239659745;135,5128404;8,369355644;72,61634358;118,2935497;7,906540437;17,78230799;5,938854167;100,5112417;8,398859919;67,11588378;8,341669025;71,76907953;119,8729707;7,509539306;19,65267038;5,507452162;100,2203003;8,085945906;68,39695659;8,396702933;73,45244425
1964 - 1968;45 - 50;320,0813964;10,35050163;55,96518801;8,527885705;264,1162084;10,84148345;184,6843168;11,40621601;75,18384621;162,1796232;10,83981123;26,05402545;8,701404658;136,1255978;11,37484531;94,35764676;11,72748111;74,24587;157,9017732;9,891884428;29,91116255;8,382285646;127,9906106;10,32650222;90,32667006;11,08888835;76,14723394
1954 - 1963;50 - 60;607,0045531;19,6287622;129,9738299;19,80520401;477,0307232;19,58123177;336,4435011;20,77895576;76,83918161;301,921936;20,17995065;59,6776647;19,93087443;242,2442713;20,24227008;171,2057225;21,27874047;76,47121976;305,0826171;19,11214756;70,29616519;19,69975374;234,7864519;18,94297407;165,2377786;20,28529644;77,20333134
1944 - 1953;60 - 70;437,5087582;14,14776105;117,7413774;17,9412425;319,7673808;13,12586148;237,9826076;14,69795094;81,30671177;215,2515004;14,38704558;56,66286786;18,92400632;158,5886325;13,25188791;119,0217377;14,79292065;81,61829547;222,2572579;13,92348587;61,07850956;17,11660364;161,1787483;13,00417815;118,9608699;14,6041452;81,00494948
1943 und früher;70 und mehr;625,6621599;20,23209495;174,8025208;26,63612813;450,859639;18,50695701;309,387059;19,10793339;77,38834324;262,4849185;17,54404722;72,76968817;24,30328875;189,7152304;15,85286996;141,8282782;17,62748978;81,7563034;363,1772413;22,75153233;102,0328327;28,59361776;261,1444086;21,06957927;167,5587808;20,57023259;74,23141727
Zusammen;;3092,424;100;656,261;100;2436,163;100;1619,155;100;73,58033698;1496,148039;100;299,4232136;100;1196,724826;100;804,5857919;100;73,79009138;1596,275961;100;356,8377864;100;1239,438174;100;814,5692081;100;73,38373962
;;Bayern;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;348,274499;3,676598033;71,52007163;2,878438482;276,7544274;3,960392804;148,9719495;3,480741671;63,30983801;178,1458313;3,884740888;33,01261817;2,886639456;145,1332132;4,216354552;80,15829134;3,694222454;63,52711633;170,1286677;3,481282459;38,50745346;2,871444758;131,6212142;3,711920747;68,81365818;3,261214201;63,08232064
1989 - 1992;21 - 25;538,2800287;5,682412294;127,8584943;5,145867472;410,4215344;5,873186952;196,4618339;4,590346667;60,25122815;273,865589;5,972055835;59,53503001;5,2057721;214,330559;6,226649356;107,1171989;4,936666621;60,85183227;264,4144397;5,4106187;68,32346428;5,094781288;196,0909754;5,530067202;89,34463503;4,234217454;59,62915622
1984 - 1988;25 - 30;673,8517823;7,113590414;164,8280002;6,633763752;509,0237821;7,284198279;251,6845662;5,880630282;61,81070932;344,0755749;7,503091396;76,79785265;6,715241742;267,2777222;7,764850073;133,2480649;6,140949176;61,04644818;329,7762074;6,748093322;88,03014756;6,564279978;241,7460599;6,817610826;118,4365013;5,612938044;62,60810944
1979 - 1983;30 - 35;668,4387308;7,05644694;155,1181523;6,242975555;513,3205784;7,345686009;277,3213954;6,479636875;64,69396937;339,470616;7,402673262;74,85845897;6,545660213;264,612157;7,687411093;144,2507367;6,648024823;64,54437744;328,9681148;6,731557609;80,25969334;5,984848516;248,7084214;7,013960134;133,0706587;6,306479461;64,84833711
1974 - 1978;35 - 40;620,6688324;6,552158757;132,3746441;5,327627068;488,2941883;6,987555025;286,9807046;6,705327416;67,56507284;309,3358338;6,745538487;65,01794492;5,685200858;244,3178888;7,097829782;142,7862373;6,580531034;67,17753312;311,3329986;6,370696496;67,35669915;5,02269102;243,9762995;6,880507015;144,1944673;6,833658565;67,95012653
1969 - 1973;40 - 45;747,424311;7,890266901;154,8645277;6,232768032;592,5597833;8,479609609;377,1744223;8,812710938;71,18298698;375,8759677;8,196547343;73,94831657;6,466076916;301,9276511;8,771486543;192,6429839;8,878258565;70,92533798;371,5483433;7,602861692;80,91621115;6,033804094;290,6321322;8,19627328;184,5314384;8,745306721;71,44363696
1964 - 1968;45 - 50;1001,864463;10,57629234;230,3635314;9,271344931;771,500932;11,04028134;509,8629852;11,91298996;73,88489597;502,6169609;10,96032753;108,0205989;9,445373924;394,596362;11,46366246;263,1049739;12,12561154;73,83864884;499,2475025;10,2159242;122,3429325;9,122934407;376,90457;10,62928876;246,7580113;11,69434604;73,93145523
1954 - 1963;50 - 60;1748,460487;18,45781533;455,061115;18,31465483;1293,399372;18,50871769;857,7482505;20,04135737;75,08373081;870,471155;18,98194789;211,4849233;18,49234498;658,9862317;19,14461575;443,923561;20,45892395;75,29353276;877,9893322;17,96598365;243,5761918;18,1631221;634,4131404;17,89142664;413,8246896;19,61196353;74,87572539
1944 - 1953;60 - 70;1261,013908;13,31203194;391,9301363;15,77384867;869,0837717;12,4367048;604,445869;14,12292671;79,01387915;612,3413982;13,35303582;183,9126612;16,08141291;428,428737;12,44654767;302,842926;13,95699832;79,49088346;648,6725098;13,27355502;208,0174751;15,51156035;440,6550347;12,42714995;301,602943;14,2935549;78,56359108
1943 und früher;70 und mehr;1864,460957;19,68238705;600,7643271;24,17871121;1263,69663;18,08366749;769,2390234;17,97333211;73,47986264;779,5852082;17,00004155;257,0465618;22,4762769;522,5386464;15,18059273;359,7535176;16,57981352;79,11900751;1084,875749;22,19942686;343,7177653;25,63053348;741,1579838;20,90179545;409,4855058;19,4063211;69,42760696
Zusammen;;9472,738;100;2484,683;100;6988,055;100;4279,891;100;71,41096904;4585,784135;100;1143,634966;100;3442,149168;100;2169,828491;100;72,25511189;4886,953865;100;1341,048034;100;3545,905832;100;2110,062509;100;70,61884842
;;Baden-Württemberg;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;286,9855671;3,731982909;33,91395218;2,523808339;253,0716149;3,987807615;162,2283882;3,660643868;68,34571592;149,2601543;4,029208687;15,14330029;2,432164593;134,116854;4,351862087;86,92282625;3,968763892;68,38136206;137,7254128;3,455712648;18,77065188;2,60293341;118,9547609;3,644104406;75,30556199;3,359581403;68,30708435
1989 - 1992;21 - 25;441,1688117;5,736993961;73,7748047;5,490173082;367,394007;5,789257003;211,041063;4,762089925;64,5593841;220,9506858;5,964461358;31,5486127;5,067020879;189,4020731;6,145772709;111,2616002;5,08003525;64,63442843;220,2181259;5,525563857;42,226192;5,855522046;177,9919339;5,452671131;99,77946278;4,451427208;64,48409013
1984 - 1988;25 - 30;551,7951532;7,175587614;97,00491063;7,218910999;454,7902425;7,166414112;270,73673;6,109108037;66,6445942;278,3085366;7,512809954;46,18196106;7,417282121;232,1265755;7,532109597;138,7577194;6,335466186;66,45131434;273,4866166;6,862140697;50,82294957;7,047637676;222,663667;6,821161625;131,9790106;5,887934673;66,84128182
1979 - 1983;30 - 35;531,2791092;6,908795363;86,73441034;6,454600955;444,5446988;7,004968676;282,1654793;6,366994969;69,43617456;268,897959;7,258775773;43,91164576;7,052646911;224,9863132;7,30042032;140,4265349;6,411661762;68,55320934;262,3811502;6,583489867;42,82276458;5,938248991;219,5583857;6,72603328;141,7389444;6,323351279;70,34107016
1974 - 1978;35 - 40;477,1196926;6,204502046;68,18250879;5,07400563;408,9371838;6,443878806;273,5784339;6,17323039;71,63002239;242,5006943;6,546193847;35,95170542;5,774201349;206,5489888;6,70216074;137,9786586;6,299895454;71,7236561;234,6189984;5,886900782;32,23080337;4,469457717;202,388195;6,200035271;135,5997753;6,049466617;71,53324319
1969 - 1973;40 - 45;608,8444911;7,917461696;80,03616048;5,956130628;528,8083306;8,33276339;375,1797748;8,465839778;74,76719293;301,6513315;8,142937885;38,83077816;6,236609057;262,8205534;8,52807658;184,9437108;8,444248228;74,1831597;307,1931596;7,707882414;41,20538232;5,713965981;265,9877773;8,148368539;190,236064;8,486936768;75,34069008
1964 - 1968;45 - 50;789,9624606;10,27273403;113,5577662;8,45074133;676,4046943;10,65853155;494,7983101;11,16500274;77,01075769;399,610515;10,78730064;55,31860402;8,884717824;344,291911;11,17168252;250,5128649;11,43803596;76,53238777;390,3519455;9,79444627;58,23916218;8,076046689;332,1127833;10,17406658;244,2854452;10,89822341;77,50047383
1954 - 1963;50 - 60;1404,495741;18,2641732;242,6903747;18,06053121;1161,805367;18,30729333;862,7418918;19,46755959;78,7067012;703,1258333;18,98055598;116,4029092;18,69546458;586,7229241;19,03815346;438,6140926;20,0264516;78,93565781;701,3699081;17,59829805;126,2874655;17,5123307;575,0824426;17,61728953;424,1277992;18,92146913;78,47717137
1944 - 1953;60 - 70;1008,474079;13,11427632;215,6109054;16,04533138;792,8631736;12,49364059;613,6204965;13,84619629;82,22634762;481,3532271;12,99390727;100,2549488;16,10194159;381,0982783;12,36598607;298,1177732;13,61160359;82,76099537;527,1208519;13,22615891;115,3559566;15,99645422;411,7648953;12,61415901;315,5027233;14,0754156;81,73812103
1943 und früher;70 und mehr;1589,769894;20,67349287;332,2552065;24,72576645;1257,514688;19,81544493;885,5994324;19,9833344;76,60571781;658,7943671;17,7838486;139,0819941;22,3379511;519,7123731;16,86377591;402,6380019;18,38383808;82,22899632;930,975527;23,35940651;193,1732125;26,78740257;737,8023146;22,60211063;482,9614306;21,5461939;72,62646798
Zusammen;;7689,895;100;1343,761;100;6346,134;100;4431,69;100;75,1044195;3704,453304;100;622,6264595;100;3081,826845;100;2190,173783;100;75,93023886;3985,441696;100;721,1345405;100;3264,307155;100;2241,516217;100;74,33682346
;;Saarland;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;26,16450243;3,286700503;2,196687243;1,63708312;23,96781519;3,621123056;15,26344932;3,406396445;66,73215594;13,14973907;3,456531018;0,942841353;1,576090646;12,20689772;3,807395746;7,929449228;3,590819953;67,47122914;13,01476336;3,131256228;1,25384589;1,686149684;11,76091747;3,446131492;7,334000091;3,227191692;65,98541783
1989 - 1992;21 - 25;44,82254043;5,630463128;6,223202494;4,63784719;38,59933793;5,831693522;21,46445914;4,790297119;61,77173664;22,30250263;5,862419908;2,906707448;4,858966364;19,39579519;6,049650762;11,07641708;5,015911989;62,69755801;22,52003779;5,418155264;3,316495046;4,459963635;19,20354275;5,626936301;10,38804206;4,571066623;60,85485837
1984 - 1988;25 - 30;53,20226714;6,6830974;7,140816505;5,321699846;46,06145063;6,959089913;26,7111552;5,961220312;63,62881419;26,98395315;7,092982647;3,398830039;5,68161782;23,58512311;7,356324226;13,45683788;6,093876205;62,4655247;26,21831398;6,307933282;3,741986466;5,032156939;22,47632752;6,585913072;13,25431732;5,832318271;64,8260746
1979 - 1983;30 - 35;49,05111032;6,161642454;6,265543306;4,669401717;42,78556701;6,464160457;26,67994136;5,954254212;67,16562469;26,22539125;6,893587607;3,271135553;5,4681587;22,9542557;7,159553353;14,17136888;6,417448761;66,50998746;22,82571907;5,491699927;2,994407754;4,026826364;19,83131131;5,810882241;12,50857248;5,504166988;67,91891282
1974 - 1978;35 - 40;43,66556097;5,485127096;4,854318157;3,61768492;38,81124282;5,863708691;25,25022618;5,635179762;68,94345033;21,92298521;5,762660229;2,490768166;4,163665919;19,43221704;6,061010931;12,49605503;5,658789464;68,36123392;21,74257576;5,231103624;2,363549991;3,178460049;19,37902577;5,678355552;12,75417115;5,612238159;69,53049769
1969 - 1973;40 - 45;53,1995766;6,682759424;5,989481462;4,463666382;47,21009514;7,132630266;31,37021817;7,000999409;70,2255582;26,15539707;6,875188987;3,010523383;5,032509159;23,14487369;7,219008109;15,23307043;6,898236141;69,75078132;27,04417953;6,506630452;2,978958079;4,006049916;24,06522146;7,051483675;16,13714774;7,100854716;70,68473198
1964 - 1968;45 - 50;78,10800583;9,811676058;10,49727111;7,823100623;67,61073472;10,21481468;48,43909344;10,81031897;75,45495999;39,89408301;10,48653016;5,11727271;8,5542341;34,7768103;10,84707045;24,98561884;11,3146394;75,45703342;38,21392282;9,193988436;5,379998399;7,234926294;32,83392442;9,620849842;23,4534746;10,32026963;75,4527954
1954 - 1963;50 - 60;154,5255166;19,41099757;25,3710176;18,90777342;129,154499;19,51301487;93,20404706;20,80066753;76,73494144;76,74841877;20,17403453;11,55920486;19,32282096;65,18921392;20,33285946;46,59694093;21,10124176;75,77504099;77,77709783;18,71259701;13,81181275;18,57388047;63,96528508;18,74282206;46,60710614;20,50859884;77,68214625
1944 - 1953;60 - 70;114,170259;14,34170012;23,29031603;17,35712872;90,87994295;13,73039029;68,33529126;15,25062182;80,25348117;56,13526803;14,75567645;10,73467344;17,94450184;45,40059459;14,16068478;34,77951076;15,74976491;81,07948139;58,03499095;13,96279147;12,55564259;16,88460516;45,47934836;13,32615547;33,5557805;14,76560332;79,45451931
1943 und früher;70 und mehr;179,1626607;22,50583624;42,3543461;31,56461407;136,8083146;20,66937426;91,36411887;20,39004443;74,6352306;70,91394331;18,64038847;16,38956127;27,3974345;54,52438204;17,00644218;40,10031765;18,15927142;79,65976263;108,2487174;26,0438443;25,96478483;34,91698149;82,28393257;24,1104703;51,26380123;22,55769176;71,34364999
Zusammen;;796,072;100;134,183;100;661,889;100;448,082;100;73,14225346;380,4316815;100;59,82151821;100;320,6101633;100;220,8255867;100;73,77069749;415,6403185;100;74,36148179;100;341,2788367;100;227,2564133;100;72,56704455
;;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;2015,161251;3,253046159;247,343078;2,180086418;1767,818173;3,493619493;1046,765166;3,125681031;64,21859506;1031,147237;3,453397037;112,2836617;2,161777653;918,863575;3,725388809;551,3539472;3,340318601;64,35915118;984,0140142;3,06661302;135,0594162;2,195545445;848,9545979;3,273212624;495,4112184;2,917073549;64,07130646
1989 - 1992;21 - 25;3364,988832;5,432053633;527,2526239;4,64721428;2837,736208;5,608026143;1502,464624;4,486417136;60,31869197;1699,897437;5,693096548;234,4810107;4,514421787;1465,416427;5,941301958;783,8901265;4,749114038;59,90779883;1665,091394;5,18914454;292,7716132;4,759337776;1372,319781;5,291089116;718,5744978;4,231100514;60,73817416
1984 - 1988;25 - 30;4406,167631;7,112813766;703,9896693;6,204977834;3702,177962;7,316363917;2043,810228;6,102895923;62,3625819;2234,006961;7,481873339;330,7426243;6,367729757;1903,264336;7,716487902;1041,435582;6,309425488;61,42228878;2172,16067;6,76939159;373,247045;6,067558058;1798,913625;6,935855938;1002,374646;5,902168657;63,32964727
1979 - 1983;30 - 35;4289,57268;6,924596195;650,0110439;5,729209241;3639,561637;7,192619508;2161,14938;6,453275142;65,53474281;2173,861628;7,280441665;318,6133955;6,134207841;1855,248232;7,52181411;1084,399403;6,569717178;64,5401152;2115,711053;6,59347018;331,3976484;5,387248202;1784,313404;6,879563612;1076,749976;6,34010446;66,55670788
1974 - 1978;35 - 40;3922,050057;6,331309648;551,7276849;4,862937916;3370,322372;6,660540159;2142,725655;6,398261191;68,70012623;1984,524644;6,646336507;275,1006649;5,296464868;1709,423979;6,930592455;1070,843081;6,487587656;67,82197189;1937,525413;6,038166705;276,62702;4,496888929;1660,898393;6,403727126;1071,882574;6,311444288;69,59958228
1969 - 1973;40 - 45;4776,95622;7,711372515;648,5752885;5,716554467;4128,380932;8,158640022;2809,535993;8,389382497;72,39152133;2410,284215;8,072240385;315,4559892;6,073418851;2094,828226;8,493153765;1399,324807;8,47765887;71,14433995;2366,672005;7,375572989;333,1192993;5,41523561;2033,552706;7,840525754;1410,211186;8,303586185;73,66168533
1964 - 1968;45 - 50;6319,946368;10,20219957;961,4371158;8,474124341;5358,509252;10,58965942;3757,085924;11,21880303;74,66080826;3189,646723;10,68238963;459,3420175;8,843631327;2730,304706;11,06959387;1898,789702;11,50361323;73,9308119;3130,299644;9,7553668;502,0950983;8,162130687;2628,204546;10,13325368;1858,296222;10,94199436;75,40464457
1954 - 1963;50 - 60;11521,11316;18,59836918;2081,032647;18,34225985;9440,102432;18,65583597;6617,540255;19,76022964;75,5011498;5742,950761;19,23361518;967,9670641;18,63610017;4775,005621;19,35951428;3349,979422;20,2954901;75,18689723;5778,162394;18,0072517;1113,065583;18,09415544;4665,096811;17,98665537;3267,560833;19,24000693;75,81348735
1944 - 1953;60 - 70;8504,104286;13,72805465;1943,483548;17,12989958;6560,620737;12,96531105;4840,542733;14,45404671;79,77355467;4108,179897;13,75863289;909,9733961;17,51955825;3198,206501;12,9666286;2372,177365;14,37158148;79,8930632;4395,924389;13,69960058;1033,510152;16,80089083;3362,414237;12,96405809;2468,365368;14,53419514;79,66186882
1943 und früher;70 und mehr;12826,83952;20,70618468;3030,7103;26,71273607;9796,107297;19,35938431;6567,567043;19,6110077;74,82963615;5284,425656;17,69797683;1270,083217;24,4526895;4014,342439;16,27552425;2953,835271;17,89549336;79,93145827;7542,413864;23,5054219;1760,627083;28,62100903;5781,764858;22,29205869;3613,731772;21,27832591;71,25515718
Zusammen;;61946,9;100;11345,563;100;50601,337;100;33489,187;100;72,37609953;29858,92516;100;5194,043041;100;24664,90404;100;16506,02871;100;72,67532784;32087,97484;100;6151,519959;100;25936,43296;100;16983,15829;100;72,09765766
;;Früheres Bundesgebiet und Berlin-West;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;1793,943364;3,565540276;228,0066916;2,298261331;1565,936673;3,876797409;936,9411809;3,470730591;64,9378289;918,4572066;3,792789127;103,6093353;2,282482384;814,8478713;4,141208162;493,7227546;3,70211418;65,03646394;875,4861578;3,354675902;124,3973562;2,311570948;751,0888015;3,625652988;443,2184262;3,244818979;64,8343526
1989 - 1992;21 - 25;2853,698422;5,671849434;470,1337612;4,738853217;2383,56466;5,901003189;1278,622241;4,736426809;61,28033675;1436,324705;5,931334292;208,4038141;4,591073119;1227,920891;6,240521938;667,6407618;5,006215145;60,99209827;1417,373716;5,431073246;261,7299471;4,863506431;1155,643769;5,578519179;610,9814795;4,473018682;61,57242911
1984 - 1988;25 - 30;3559,717029;7,07509205;611,6918019;6,165729634;2948,025227;7,298441093;1640,695357;6,07766174;63,27433166;1793,062235;7,404489725;285,640022;6,292563467;1507,422213;7,660999546;832,5075038;6,242446406;62,3596607;1766,654794;6,769443709;326,0517799;6,058744693;1440,603014;6,954073356;808,1878534;5,916774056;64,20267487
1979 - 1983;30 - 35;3451,148004;6,859306402;564,9276022;5,69435596;2886,220401;7,145430571;1726,938458;6,397133842;66,40880246;1734,879146;7,164221387;275,9981446;6,080155818;1458,881002;7,414304097;864,1724111;6,479881487;65,72046002;1716,268857;6,576375567;288,9294576;5,368931949;1427,3394;6,890047288;862,7660471;6,316343091;67,10460891
1974 - 1978;35 - 40;3190,525234;6,34130734;481,5227628;4,85365205;2709,002472;6,706691238;1732,228082;6,416728303;69,38515391;1598,27684;6,600119176;238,008006;5,243244532;1360,268834;6,913138755;860,3515333;6,451231145;68,72148251;1592,248394;6,101155649;243,5147568;4,525028943;1348,733637;6,510601853;871,8765483;6,383041417;70,05133804
1969 - 1973;40 - 45;3934,891295;7,820767184;574,8422919;5,794294027;3360,049004;8,318490458;2299,274933;8,517251681;73,04184561;1969,104479;8,131460021;277,9357953;6,122841679;1691,168683;8,594833221;1141,282648;8,557755612;72,07430883;1965,786817;7,532475076;296,9064966;5,517162524;1668,88032;8,056012695;1157,992285;8,477705625;74,0110153
1964 - 1968;45 - 50;5232,274665;10,39937292;852,1374295;8,589372924;4380,137236;10,8439281;3105,552567;11,50396259;75,63995106;2636,857528;10,88896084;407,8934632;8,985769877;2228,964064;11,32800919;1573,50836;11,79874243;75,14254382;2595,417138;9,94508394;444,2439662;8,255010214;2151,173172;10,3841349;1532,044207;11,21615399;76,14530028
1954 - 1963;50 - 60;9258,474325;18,40161944;1812,41432;18,26876974;7446,081928;18,43430301;5285,289506;19,57840721;76,66170016;4611,715951;19,04418191;842,6044359;18,56232139;3769,133439;19,15543589;2691,9767;20,18542799;76,64351346;4646,758374;17,80538527;969,8098843;18,02115754;3676,94849;17,74935168;2593,312806;18,98574183;76,67974971
1944 - 1953;60 - 70;6782,313292;13,48014195;1691,164064;17,04659169;5091,149227;12,60418411;3796,4644;14,06332158;80,91086666;3278,646724;13,53924337;794,4293662;17,50103915;2484,217358;12,62525382;1866,682552;13,99706997;81,16494828;3503,666568;13,4253017;896,7346983;16,66326311;2606,931869;12,58417154;1929,781848;14,12800641;80,67310321
1943 und früher;70 und mehr;10256,38137;20,385003;2633,993274;26,55011942;7622,366172;18,87073081;5193,496275;19,23837565;76,31823805;4238,553682;17,50320015;1104,804451;24,33850859;3133,749231;15,92629538;2344,392682;17,57911563;81,37674764;6017,827688;23,05902994;1529,188823;28,41562365;4488,616941;21,66743452;2849,103593;20,85839592;72,75536362
Zusammen;;50313,367;100;9920,834;100;40392,533;100;26995,503;100;73,37282158;24215,8785;100;4539,326834;100;19676,57359;100;13336,23791;100;73,81753564;26097,4885;100;5381,507166;100;20715,95941;100;13659,26509;100;72,96017108
;;Neue Länder und Berlin-Ost;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;221,2178865;1,90155378;19,33638642;1,357197504;201,8815001;1,977523519;109,8239847;1,691243133;58,38604337;112,6900301;1,996971438;8,67432642;1,324898684;104,0157037;2,085180696;57,6311926;1,818138679;58,8388511;108,5278564;1,81167021;10,66206;1,384660113;97,86579642;1,874653622;52,19279214;1,570230721;57,91586991
