# (c) Statistisches Bundesamt, Wiesbaden 2014
# 
# Ergebnisse der repräsentativen Wahlstatistik zur Bundestagswahl 2013
# Wahlberechtigte, Wähler und Wahlbeteiligung nach Geschlecht und Altersgruppen in den Ländern 2013
# 
Geburtsjahresgruppe;Alter von ... bis unter ... Jahren;Insgesamt;;;;;;;;;Männer;;;;;;;;;Frauen;;;;;;;;
;;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1
;;insgesamt;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;
;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;
;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Schleswig-Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;
1989 - 1992;21 - 25;79,7016012;4,127734567;7,049005179;3,661668699;72,65259602;4,179346885;30,21630557;2,978660402;46,75603775;41,81434444;4,488152379;3,229748325;3,725724457;38,58459612;4,5663717;15,91613398;3,245321671;45,78783325;37,88725676;3,791685217;3,819256854;3,609194295;34,06799991;3,813300667;14,30017158;2,729077726;47,82459852
1984 - 1988;25 - 30;120,8513595;6,258874683;9,104711098;4,729523499;111,7466484;6,428235636;48,67967486;4,79874085;47,81442774;63,89507316;6,858192528;4,587470718;5,291945418;59,30760244;7,0188776;25,35719023;5,17036606;46,86536765;56,95628633;5,70007774;4,51724038;4,268788099;52,43904595;5,869609294;23,32248463;4,450916757;48,87910853
1979 - 1983;30 - 35;119,0378268;6,164952086;7,831550688;4,068168953;111,2062762;6,397150677;54,0491467;5,328052189;51,98406173;63,18088406;6,781534875;4,250981853;4,903783658;58,92990221;6,974177906;27,35931443;5,578601946;50,03142446;55,85694279;5,590057511;3,580568835;3,383634331;52,27637395;5,851401086;26,68983227;5,093549148;54,19272806
1974 - 1978;35 - 40;106,8566337;5,534089831;6,251071642;3,247174996;100,6055621;5,787343681;54,75177167;5,397315494;57,08849436;55,9283394;6,003081308;3,26351083;3,7646717;52,66482857;6,232725154;27,22928101;5,552087954;54,52118223;50,92829433;5,096807667;2,987560812;2,823242282;47,94073352;5,366104015;27,52249066;5,252455595;59,9078604
1969 - 1973;40 - 45;140,3172474;7,267010245;8,901122636;4,623767654;131,4161248;7,559723971;78,16677356;7,70551756;62,05074415;72,48913359;7,780638002;4,203706256;4,849248186;68,28542734;8,08137636;38,86656377;7,924945959;59,41617439;67,82811383;6,788109737;4,69741638;4,439054257;63,13069745;7,066347639;39,30020979;7,500142678;64,86635657
1964 - 1968;45 - 50;184,2488969;9,54222411;13,40581661;6,963771171;170,8430803;9,827763005;103,2779777;10,1809277;63,32943981;93,23613303;10,00752201;6,139278659;7,082056664;87,09685437;10,30765256;51,67473698;10,53655014;62,00816546;91,01276387;9,108385796;7,266537946;6,866871828;83,74622593;9,37388576;51,60324068;9,848081467;64,68299183
1954 - 1963;50 - 60;382,8688246;19,82872186;38,25102216;19,8698351;344,6178024;19,82416896;214,2251812;21,11787171;65,94326494;190,6785102;20,46652221;17,74871904;20,47430015;172,9297911;20,46572425;104,1130271;21,22878981;63,90953337;192,1903144;19,23404428;20,50230312;19,37465802;171,6880113;19,21738904;110,1121542;21,01405746;67,96099881
1944 - 1953;60 - 70;313,3041746;16,22597855;37,93568035;19,70602798;275,3684942;15,8405965;185,4846191;18,28468701;71,31098707;150,0374292;16,10430233;16,65185726;19,20899884;133,3855719;15,78578402;89,51328404;18,25188207;70,75910449;163,2667454;16,33942803;21,28382309;20,11319369;141,9829223;15,89243788;95,97133504;18,31539092;71,81815123
1943 und früher;70 und mehr;446,90121;23,14494997;61,22374149;31,80321934;385,6774685;22,18612981;229,8570818;22,65883187;65,13314728;181,4867038;19,47991753;25,40323875;29,30428577;156,083465;18,47201187;101,8676075;20,77094566;70,12681567;265,4145062;26,56218332;35,82050274;33,85034289;229,5940035;25,69892477;127,9894743;24,42580648;61,71854712
Zusammen;;1930,88;100;192,508;100;1738,372;100;1014,426;100;62,50693984;931,6605344;100;86,68779354;100;844,9727409;100;490,4331711;100;61,94541287;999,2194656;100;105,8202065;100;893,3992591;100;523,9928289;100;63,03050102
